;CountryName;CountryID;lowcarbonRDexp;year;Electricity_production_from_oil_gas_coal;general_public_expenditures;Coal_rents_percentage_of_GDP;Inflation;GDP_growth_annual_percentage;Natural_gas_rents_percentage_of_GDP;Oil_rents_percentage_of_GDP;disproportionality;election_year;green_vs_growth;left_vs_right;green_cabinet;left_incumbent_gov;single_party_gov;environmental_saliency ;political_constraints;institutional_constraints;social_expenditures;EU;prop;fed;pres;bic;deficit
AUT;Austria;2;1;1998;30.0196744768378;19.5530546720414;0.000210594618918543;0.441905227151835;3.58142581460447;0.00511660639544474;0.00665402851977649;2.02;0;7.10481548;1.286586165;0;0;0;3.80;0.4260151;3;26.90;1;2;1;1;2;-2.69688843125465
AUT;Austria;2;1;1999;29.0439949262301;19.8436668661919;3.7609050883809e-05;0.256349694475674;3.55633124664169;0.00439737743767174;0.0210893999194086;2.02;1;2.07359076;-0.661136508;0;0;0;7.27;0.4228405;4;27.42;1;2;1;1;2;-2.60067316738714
AUT;Austria;2;1;2000;27.2104753315295;19.2197165554154;0.00045444817955648;1.36404091396396;3.37572214708479;0.0268162707015355;0.0561138914093743;2.02;0;0.97061753;3.543908358;0;0;0;7.27;0.4228405;4;27.08;1;2;1;1;2;-2.40354039450601
AUT;Austria;2;1;2001;30.4534363895394;18.9761681528468;0.00145680591792648;1.94710539424338;1.26716818922992;0.04822767765681;0.0405989008731759;2.02;0;-1.18952203;1.797396660;0;0;0;7.27;0.5469067;4;27.36;1;2;1;1;2;-0.661774051694009
AUT;Austria;2;1;2002;30.5900569960136;18.8386965201083;0.000526425447234593;1.14559566666318;1.65155392186669;0.037618010350505;0.0396313353824282;2.02;1;-3.34966159;0.050884809;0;0;0;4.13;0.5321479;4;27.61;1;2;1;1;2;-1.38065867207477
AUT;Austria;2;1;2003;38.7920202420091;18.979639912386;0.00037786756614585;1.30755257860011;0.941470920725337;0.0370753491348379;0.036816529671817;2.02;0;-3.80591297;0.399510235;0;0;0;4.13;0.5321479;4;28.19;1;2;1;1;2;-1.78513082180387
AUT;Austria;2;1;2004;35.3231742751986;18.8913590714454;0.000656880960255775;1.73971884960345;2.73512022241023;0.0267660448141349;0.0440354515468147;2.02;0;-3.98689651;1.265467405;0;0;0;4.13;0.5321479;4;27.95;1;2;1;1;2;-4.81600042409691
AUT;Austria;2;1;2005;35.9080124676291;19.3462734216739;0;2.53779415754438;2.24406532463878;0.0233102758144175;0.0567181263932102;2.02;0;-4.46382952;2.131424665;0;0;0;4.13;0.5321479;4;27.70;1;2;1;1;2;-2.50982147116665
AUT;Austria;2;2;2006;33.8117715056353;19.2582902718553;0;1.89216106882701;3.45404183614122;0.0464359361667633;0.0639449692644589;2.02;1;-4.80794144;3.104793549;0;0;0;7.37;0.5321479;4;27.30;1;2;1;1;2;-2.53488542958434
AUT;Austria;2;1;2007;30.6100753669179;18.7447920696102;0;2.22117586707647;3.72741530093519;0.0441895400803374;0.0601151491161966;2.02;0;-4.46881342;0.227580965;0;0;0;7.37;0.4170968;4;26.78;1;2;1;1;2;-1.35529954337396
